1F600,GRINNING_FACE
1F601,GRINNING_FACE_WITH_SMILING_EYES
1F602,FACE_WITH_TEARS_OF_JOY
1F603,SMILING_FACE_WITH_OPEN_MOUTH
1F604,SMILING_FACE_WITH_OPEN_MOUTH_AND_SMILING_EYES
1F605,SMILING_FACE_WITH_OPEN_MOUTH_AND_COLD_SWEAT
1F606,SMILING_FACE_WITH_OPEN_MOUTH_AND_TIGHTLY-CLOSED_EYES
1F607,SMILING_FACE_WITH_HALO
1F608,SMILING_FACE_WITH_HORNS
1F609,WINKING_FACE
1F60A,SMILING_FACE_WITH_SMILING_EYES
1F60B,FACE_SAVOURING_DELICIOUS_FOOD
1F60C,RELIEVED_FACE
1F60D,SMILING_FACE_WITH_HEART-SHAPED_EYES
1F60E,SMILING_FACE_WITH_SUNGLASSES
1F60F,SMIRKING_FACE
1F610,NEUTRAL_FACE
1F611,EXPRESSIONLESS_FACE
1F612,UNAMUSED_FACE
1F613,FACE_WITH_COLD_SWEAT
1F614,PENSIVE_FACE
1F615,CONFUSED_FACE
1F616,CONFOUNDED_FACE
1F617,KISSING_FACE
1F618,FACE_THROWING_A_KISS
1F619,KISSING_FACE_WITH_SMILING_EYES
1F61A,KISSING_FACE_WITH_CLOSED_EYES
1F61B,FACE_WITH_STUCK-OUT_TONGUE
1F61C,FACE_WITH_STUCK-OUT_TONGUE_AND_WINKING_EYE
1F61D,FACE_WITH_STUCK-OUT_TONGUE_AND_TIGHTLY-CLOSED_EYES
1F61E,DISAPPOINTED_FACE
1F61F,WORRIED_FACE
1F620,ANGRY_FACE
1F621,POUTING_FACE
1F622,CRYING_FACE
1F623,PERSEVERING_FACE
1F624,FACE_WITH_LOOK_OF_TRIUMPH
1F625,DISAPPOINTED_BUT_RELIEVED_FACE
1F626,FROWNING_FACE_WITH_OPEN_MOUTH
1F627,ANGUISHED_FACE
1F628,FEARFUL_FACE
1F629,WEARY_FACE
1F62A,SLEEPY_FACE
1F62B,TIRED_FACE
1F62C,GRIMACING_FACE
1F62D,LOUDLY_CRYING_FACE
1F62E,FACE_WITH_OPEN_MOUTH
1F62F,HUSHED_FACE
1F630,FACE_WITH_OPEN_MOUTH_AND_COLD_SWEAT
1F631,FACE_SCREAMING_IN_FEAR
1F632,ASTONISHED_FACE
1F633,FLUSHED_FACE
1F634,SLEEPING_FACE
1F635,DIZZY_FACE
1F636,FACE_WITHOUT_MOUTH
1F637,FACE_WITH_MEDICAL_MASK
1F638,GRINNING_CAT_FACE_WITH_SMILING_EYES
1F639,CAT_FACE_WITH_TEARS_OF_JOY
1F63A,SMILING_CAT_FACE_WITH_OPEN_MOUTH
1F63B,SMILING_CAT_FACE_WITH_HEART-SHAPED_EYES
1F63C,CAT_FACE_WITH_WRY_SMILE
1F63D,KISSING_CAT_FACE_WITH_CLOSED_EYES
1F63E,POUTING_CAT_FACE
1F63F,CRYING_CAT_FACE
1F640,WEARY_CAT_FACE
1F645,FACE_WITH_NO_GOOD_GESTURE
1F646,FACE_WITH_OK_GESTURE
1F647,PERSON_BOWING_DEEPLY
1F648,SEE-NO-EVIL_MONKEY
1F649,HEAR-NO-EVIL_MONKEY
1F64A,SPEAK-NO-EVIL_MONKEY
1F64B,HAPPY_PERSON_RAISING_ONE_HAND
1F64C,PERSON_RAISING_BOTH_HANDS_IN_CELEBRATION
1F64D,PERSON_FROWNING
1F64E,PERSON_WITH_POUTING_FACE
1F64F,PERSON_WITH_FOLDED_HANDS
2639,WHITE_FROWNING_FACE
263A,WHITE_SMILING_FACE
263B,BLACK_SMILING_FACE
201c,"
201d,"
2665,HEART
2014,-
263a,:)
2026,...
0336,-
2588,||
00a0, 
d83d,POO
266b,MUSIC
2591,LIGHT_SHADE
00bb,RIGHT_ARROW
300b,RIGHT_ARROW
2022,*
00b0,DEGREE
266a,MUSIC
2013,-
2019,'
0338,/
00ab,LEFT_ARROW
2508,----
2501,-
2001, 
2003, 
25b8,RIGHT_ARROW
200b, 
2500,-
2611,CHECK_MARK
2503,|
d83c,GAME_DIE
2580,^
2018,'
2661,HEART
2605,STAR
2600,SUN
2550,=
0305,-
00bf,INV_?
00a1,INV_!
